date,Open,Low,High,Close,Volume
2024-05-06 09:30:00,89.39,89.06,90.68,90.54,43561890
2024-05-06 09:45:00,90.57,90.32,91.6,91.58,37915780
2024-05-06 10:00:00,91.6,90.94,91.69,91.12,24796720
2024-05-06 10:15:00,91.1,90.83,91.39,91.31,19628230
2024-05-06 10:30:00,91.31,91.15,91.63,91.42,16087600
2024-05-06 10:45:00,91.44,91.11,91.56,91.18,12175890
2024-05-06 11:00:00,91.17,91.07,91.54,91.42,11115780
2024-05-06 11:15:00,91.43,91.36,91.78,91.71,13491900
2024-05-06 11:30:00,91.72,91.64,91.89,91.85,11105990
2024-05-06 11:45:00,91.85,91.67,91.96,91.79,10157720
2024-05-06 12:00:00,91.78,91.67,91.85,91.76,6978750
2024-05-06 12:15:00,91.75,91.52,91.93,91.6,10156620
2024-05-06 12:30:00,91.61,91.45,91.81,91.77,8906830
2024-05-06 12:45:00,91.77,91.6,91.99,91.97,8532340
2024-05-06 13:00:00,91.98,91.65,91.99,91.78,8593750
2024-05-06 13:15:00,91.77,91.56,91.8,91.71,6249470
2024-05-06 13:30:00,91.75,91.62,91.88,91.84,5846580
2024-05-06 13:45:00,91.84,91.65,91.85,91.73,4456180
2024-05-06 14:00:00,91.73,91.69,91.88,91.8,8365450
2024-05-06 14:15:00,91.81,91.73,91.93,91.92,5927890
2024-05-06 14:30:00,91.92,91.82,92.04,92.0,10466970
2024-05-06 14:45:00,91.99,91.86,92.22,92.12,13115660
2024-05-06 15:00:00,92.11,91.91,92.19,92.05,8651520
2024-05-06 15:15:00,92.05,91.93,92.12,91.98,8005380
2024-05-06 15:30:00,91.97,91.67,91.97,91.84,12063770
2024-05-06 15:45:00,91.82,91.72,92.17,92.16,18386640
2024-05-07 09:30:00,91.1,90.66,91.78,91.15,43200530
2024-05-07 09:45:00,91.15,89.2,91.25,89.69,42574340
2024-05-07 10:00:00,89.66,89.5,90.19,90.09,22446560
2024-05-07 10:15:00,90.07,89.01,90.22,89.74,24988870
2024-05-07 10:30:00,89.74,89.69,90.08,89.9,15053340
2024-05-07 10:45:00,89.91,89.75,90.57,90.57,19007640
2024-05-07 11:00:00,90.57,90.39,90.68,90.47,13461850
2024-05-07 11:15:00,90.46,90.25,90.83,90.43,13897790
2024-05-07 11:30:00,90.43,90.32,90.83,90.82,10320610
2024-05-07 11:45:00,90.82,90.75,91.07,91.03,11824840
2024-05-07 12:00:00,91.06,91.05,91.43,91.27,13365300
2024-05-07 12:15:00,91.29,91.26,91.54,91.4,11198930
2024-05-07 12:30:00,91.39,91.04,91.43,91.33,11145450
